,trustfam,nofriend,placesize,socprof,trustneigh,workab,id_hash,ls,region,wkabint,ymarr,smoke,age,emcc,ysepdiv,agegr,trust,mmarr,marital,unempdur,alcsol,sport,msepdiv,sex,wkabintdur,nociga,englang,eduspec,edu
0,YES,6,"URBAN 100,000-200,000",RETIRED,NO,NO,<sha256 HASH object @ 0x7f6ca8ee3508>,PLEASED,Lubuskie,NO,1979.0,NO,57,,,45-59,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,0,NO,NO,,1,,-8,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
1,NO,0,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3c10>,MIXED,Podlaskie,NO,1958.0,NO,78,,1997.0,65+,ONE CAN`T BE TOO CAREFUL,8.0,WIDOWED,-8,NO,YES,12.0,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
2,YES,6,"URBAN 100,000-200,000",SELF-EMPLOYED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3cb0>,MOSTLY SATISFIED,Zachodnio-pomorskie,NO,1980.0,YES,54,,,45-59,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,-8,NO,YES,,1,,20,NONE,"agriculture, forestry, fishing",VOCATIONAL/GRAMMAR
3,YES,0,RURAL AREAS,EMPLOYED IN PUBLIC SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8ee30f8>,MOSTLY SATISFIED,Wielkopolskie,NO,1997.0,NO,39,,,35-44,ONE CAN`T BE TOO CAREFUL,8.0,MARRIED,0,NO,YES,,1,,-8,PASSIVE,art,SECONDARY
4,YES,4,"URBAN 100,000-200,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee38a0>,MIXED,Lubuskie,NO,2007.0,NO,39,,,35-44,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,7,NO,NO,,2,,-8,NONE,technical science,SECONDARY
5,NO OPINION,1,RURAL AREAS,EMPLOYED IN PUBLIC SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8ee34b8>,MOSTLY SATISFIED,Swietokrzyskie,NO,1992.0,YES,43,,,35-44,IT`S DIFFICULT TO TELL,6.0,MARRIED,16,NO,YES,,1,,30,NONE,social sciences,SECONDARY
6,YES,25,"URBAN BELOW 20,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee39b8>,PLEASED,Dolnoslaskie,NO,1969.0,YES,63,,,60-64,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,24,NO,YES,,1,,15,NONE,no specialisation,SECONDARY
7,NO OPINION,4,"URBAN 100,000-200,000",EMPLOYED IN PRIVATE SECTOR,NO OPINION,YES,<sha256 HASH object @ 0x7f6ca8ee3418>,MOSTLY DISSATISFIED,Kujawsko-pomorskie,NO,1994.0,YES,38,,,35-44,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,-8,NO,YES,,1,,4,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
8,YES,20,"URBAN 200,000-500,000",LONG-TERM SICK/DISABLED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3710>,PLEASED,Slaskie,NO,1995.0,NO,73,,2006.0,65+,ONE CAN`T BE TOO CAREFUL,5.0,WIDOWED,24,NO,YES,7.0,1,,-8,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
9,YES,5,"URBAN 200,000-500,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3b48>,MOSTLY SATISFIED,Slaskie,NO,1987.0,YES,54,,1993.0,45-59,ONE CAN`T BE TOO CAREFUL,10.0,WIDOWED,0,NO,YES,3.0,1,,15,NONE,social sciences,SECONDARY
10,YES,8,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3170>,DELIGHTED,Pomorskie,NO,1970.0,NO,68,,,65+,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,0,NO,NO,,2,,-8,,no specialisation,SECONDARY
11,YES,6,RURAL AREAS,FARMER,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3b20>,MIXED,Mazowieckie,NO,1985.0,YES,61,,,60-64,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,YES,,2,,20,NONE,no specialisation,PRIMARY/NO EDUCATION
12,NO,3,"URBAN 500,000 AND OVER",RETIRED,NO,NO,<sha256 HASH object @ 0x7f6ca8ee3580>,MIXED,Lodzkie,NO,1945.0,NO,87,,1952.0,65+,IT`S DIFFICULT TO TELL,7.0,DIVORCED,24,NO,YES,6.0,1,,-8,NONE,social sciences,SECONDARY
13,YES,4,"URBAN 100,000-200,000",UNEMPLOYED,NO,NO,<sha256 HASH object @ 0x7f6ca8ee3d28>,PLEASED,Slaskie,NO,1984.0,YES,47,,,45-59,IT`S DIFFICULT TO TELL,5.0,MARRIED,8,NO,YES,,2,,20,NONE,no specialisation,PRIMARY/NO EDUCATION
14,YES,1,RURAL AREAS,UNEMPLOYED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8ee3648>,PLEASED,Podkarpackie,"YES, TO EU COUNTRY",1991.0,YES,45,GERMANY,,45-59,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,8,NO,YES,,2,IT DEPENDS,25,NONE,technical science,VOCATIONAL/GRAMMAR
15,YES,2,RURAL AREAS,LONG-TERM SICK/DISABLED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3698>,MIXED,Podkarpackie,NO,1970.0,NO,60,,,60-64,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,-8,NO,YES,,1,,-8,NONE,"agriculture, forestry, fishing",VOCATIONAL/GRAMMAR
16,YES,18,"URBAN 20,000-100,000",SELF-EMPLOYED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3918>,PLEASED,Lubelskie,NO,1990.0,YES,49,,,45-59,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,-8,NO,NO,,1,,5,NONE,social sciences,POST-SECONDARY OR HIGHER
17,YES,3,"URBAN 200,000-500,000",EMPLOYED IN PUBLIC SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8ee35d0>,MOSTLY SATISFIED,Slaskie,NO,1974.0,YES,58,,,45-59,ONE CAN`T BE TOO CAREFUL,7.0,MARRIED,0,NO,YES,,1,,5,NONE,pedagogics,POST-SECONDARY OR HIGHER
18,YES,3,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3ad0>,PLEASED,Malopolskie,NO,1980.0,YES,59,,,45-59,MOST PEOPLE CAN BE TRUSTED,7.0,MARRIED,0,YES,YES,,2,,25,NONE,services for the population and transport services,SECONDARY
19,YES,8,"URBAN 20,000-100,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3670>,MOSTLY SATISFIED,Lubelskie,NO,1993.0,YES,40,,2002.0,35-44,MOST PEOPLE CAN BE TRUSTED,10.0,DIVORCED,-8,NO,NO,6.0,1,,20,ACTIVE,law,POST-SECONDARY OR HIGHER
20,YES,15,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8ee3d50>,PLEASED,Wielkopolskie,NO,1955.0,NO,75,,,65+,ONE CAN`T BE TOO CAREFUL,11.0,MARRIED,0,NO,NO,,1,,-8,NONE,no specialisation,SECONDARY
