sex,age,agegr,placesize,region,edu,eduspec,socprof,unempdur,income,marital,mmarr,ymarr,msepdiv,ysepdiv,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,nociga,alcabuse,alcsol,workab,wkabdur,wkabint,wkabintdur,emcc,englang,height,weight,bmi,id
FEMALE,57,45-59,"URBAN 100,000-200,000",Lubuskie,VOCATIONAL/GRAMMAR,services for the population and transport services,RETIRED,0,800.0,MARRIED,10.0,1979.0,,,PLEASED,6.0,ONE CAN`T BE TOO CAREFUL,YES,NO,NO,6,NO,-8,NO,NO,NO,-8,NO,,,NONE,170.0,89.0,30.7958477508651,1754
MALE,20,16-24,RURAL AREAS,Podlaskie,VOCATIONAL/GRAMMAR,no specialisation,PUPIL OR STUDENT,-8,350.0,SINGLE,,,,,MOSTLY SATISFIED,0.0,IT`S DIFFICULT TO TELL,YES,NO OPINION,NO,4,NO,-8,NO,NO,NO,-8,NO,,,ACTIVE,187.0,82.0,23.4493408447482,1812
FEMALE,18,16-24,"URBAN 500,000 AND OVER",Mazowieckie,VOCATIONAL/GRAMMAR,no specialisation,PUPIL OR STUDENT,-8,,SINGLE,,,,,PLEASED,0.0,MOST PEOPLE CAN BE TRUSTED,YES,NO,NO,20,NO,-8,NO,NO,,-8,NO,,,ACTIVE,165.0,50.0,18.3654729109275,933
FEMALE,78,65+,RURAL AREAS,Podlaskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,-8,900.0,WIDOWED,8.0,1958.0,12.0,1997.0,MIXED,16.0,ONE CAN`T BE TOO CAREFUL,NO,YES,YES,0,NO,-8,NO,NO,NO,-8,NO,,,NONE,160.0,78.0,30.46875,4545
FEMALE,54,45-59,"URBAN 100,000-200,000",Zachodnio-pomorskie,VOCATIONAL/GRAMMAR,"agriculture, forestry, fishing",SELF-EMPLOYED,-8,1500.0,MARRIED,6.0,1980.0,,,MOSTLY SATISFIED,4.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,6,YES,20,NO,NO,NO,-8,NO,,,NONE,158.0,50.0,20.028841531805803,1804
MALE,20,16-24,"URBAN 100,000-200,000",Slaskie,SECONDARY,no specialisation,PUPIL OR STUDENT,0,-8.0,SINGLE,,,,,PLEASED,5.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,10,NO,-8,NO,NO,NO,-8,NO,,,ACTIVE,165.0,65.0,23.8751147842057,151
FEMALE,39,35-44,RURAL AREAS,Wielkopolskie,SECONDARY,art,EMPLOYED IN PUBLIC SECTOR,0,2000.0,MARRIED,8.0,1997.0,,,MOSTLY SATISFIED,2.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,0,NO,-8,NO,NO,NO,-8,NO,,,PASSIVE,168.0,68.0,24.092970521542,1546
MALE,39,35-44,"URBAN 100,000-200,000",Lubuskie,SECONDARY,technical science,EMPLOYED IN PRIVATE SECTOR,7,1197.0,MARRIED,10.0,2007.0,,,MIXED,4.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,4,NO,-8,NO,NO,NO,-8,NO,,,NONE,171.0,86.0,29.4107588659759,1067
FEMALE,43,35-44,RURAL AREAS,Swietokrzyskie,SECONDARY,social sciences,EMPLOYED IN PUBLIC SECTOR,16,580.0,MARRIED,6.0,1992.0,,,MOSTLY SATISFIED,0.0,IT`S DIFFICULT TO TELL,NO OPINION,NO OPINION,YES,1,YES,30,NO,NO,NO,-8,NO,,,NONE,167.0,54.0,19.3624726594715,2101
FEMALE,63,60-64,"URBAN BELOW 20,000",Dolnoslaskie,SECONDARY,no specialisation,RETIRED,24,1400.0,MARRIED,6.0,1969.0,,,PLEASED,6.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,25,YES,15,NO,NO,NO,-8,NO,,,NONE,155.0,65.0,27.0551508844953,4870
FEMALE,38,35-44,"URBAN 100,000-200,000",Kujawsko-pomorskie,VOCATIONAL/GRAMMAR,services for the population and transport services,EMPLOYED IN PRIVATE SECTOR,-8,1500.0,MARRIED,4.0,1994.0,,,MOSTLY DISSATISFIED,0.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO OPINION,YES,4,YES,4,NO,NO,YES,4,NO,,,NONE,180.0,77.0,23.765432098765398,1197
FEMALE,73,65+,"URBAN 200,000-500,000",Slaskie,VOCATIONAL/GRAMMAR,services for the population and transport services,LONG-TERM SICK/DISABLED,24,1700.0,WIDOWED,5.0,1995.0,7.0,2006.0,PLEASED,6.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,20,NO,-8,NO,NO,NO,-8,NO,,,NONE,168.0,78.0,27.636054421768694,219
FEMALE,54,45-59,"URBAN 200,000-500,000",Slaskie,SECONDARY,social sciences,EMPLOYED IN PRIVATE SECTOR,0,2000.0,WIDOWED,10.0,1987.0,3.0,1993.0,MOSTLY SATISFIED,4.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,5,YES,15,NO,NO,NO,-8,NO,,,NONE,170.0,75.0,25.951557093425606,3692
MALE,30,25-34,"URBAN 200,000-500,000",Zachodnio-pomorskie,VOCATIONAL/GRAMMAR,social sciences,EMPLOYED IN PRIVATE SECTOR,0,900.0,SINGLE,,,,,MOSTLY SATISFIED,3.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,14,YES,20,NO,NO,NO,-8,NO,,,NONE,170.0,74.0,25.6055363321799,2527
MALE,68,65+,RURAL AREAS,Pomorskie,SECONDARY,no specialisation,RETIRED,0,-8.0,MARRIED,4.0,1970.0,,,DELIGHTED,3.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,8,NO,-8,NO,NO,NO,-8,NO,,,,165.0,65.0,23.8751147842057,2365
